name,standard_walk,generic_walk,buchberger
simple,0.002634119,0.001080056,4.670857142857143e-6
simple,0.00262981,0.001087529,4.621e-6
simple,0.000623,0.000195084,3.0837068965517243e-7
cyclic5-QQ,0.01911975,0.110495292,8.884516129032258e-7
cyclic5-Fp,0.01191775,0.251762958,8.766274509803922e-7
simple,0.000620541,0.000199625,3.2019369369369374e-7
cyclic5-QQ,0.019888625,0.116872417,8.674242424242424e-7
cyclic5-Fp,0.01215325,0.268002959,8.661276595744681e-7
cyclic7-Fp,36.670678,,
simple,0.000641,0.000202875,3.0515983606557375e-7
cyclic5-QQ,0.020051542,0.117901583,8.731739130434783e-7
cyclic5-Fp,0.013118917,0.261012125,8.7975e-7
cyclic6-QQ,0.356129125,5.922552333,1.1916e-6
cyclic6-Fp,0.130183917,11.620150625,1.15e-6
simple,0.000753417,0.000253458,4.2939408866995077e-7
simple,0.000753125,0.000237833,4.0463111111111113e-7
